by,score
spenced,8.0
ssc23,8.0
sudopaeg,9.0
supermatou,123.0
surajahmed,8.0
surprisetalk,131.0
susam,95.0
swyx,150.0
tambourine_man,15.0
taubek,272.0
tcsenpai,12.0
tech234a,40.0
tempodox,58.0
thatoneguytoo,30.0
theanonymousone,6.0
thebiblelover7,163.0
thecosas,5.0
thegoodduck,58.0
thisismytest,10.0
thorn121,50.0
throwawayci111,12.0
throwmuhsan,10.0
thunderbong,50.3125
tie-in,22.0
tillcarlos,7.0
todsacerdoti,63.285714285714285
tokai,10.0
toomuchtodo,16.0
tophercully,30.0
tosh,192.33333333333334
tr4656,138.0
tracebit,69.0
transpute,47.0
trauco,13.0
twoodfin,3.0
udev4096,527.0
uladzislau,127.0
ulrischa,14.0
usdogu,7.0
vogu66,517.0
vouaobrasil,62.0
vyrotek,19.0
warkanlock,13.0
wasmitnetzen,435.0
watchdogtimer,40.0
westurner,12.0
wglb,5.0
whatever3,180.0
wildlogic,44.0
willvk,5.0
wslh,14.0
xjia,116.0
xk3,82.0
yamrzou,12.0
yimby,46.0
zachlatta,3.0
zdw,94.5
zmaznevegor,53.0
zsrobinson,357.0
