id,deleted,type,by,time,text,dead,parent,poll,kids,url,score,title,parts,descendants
41088013,,story,11001100,1722101035,,,,,"[41088696, 41088443, 41088532, 41088523, 41088406, 41089058, 41088905, 41088649, 41088742, 41089302, 41089234, 41088474, 41088772, 41088810, 41089022, 41089224, 41088562, 41088573, 41089082, 41088472, 41088652, 41088567, 41088390, 41088545, 41089267, 41088476]",https://cybernetic.dev/grid,262,An experiment in UI density created with Svelte,,49
41088592,,story,ksp-atlas,1722107174,,,,,"[41088830, 41088925, 41088956]",https://github.com/managarm/managarm,49,Managarm: Pragmatic microkernel-based OS with asynchronous I/O,,11
41088645,,story,cglong,1722107771,,,,,"[41089262, 41089373, 41089290, 41088687]",https://workbrew.com/,39,Workbrew,,11
41088273,,story,arunsupe,1722103378,"Much improved new version. Search for words similar to the query. For example, &quot;death&quot; will find &quot;death&quot;, &quot;dying&quot;, &quot;dead&quot;, &quot;killing&quot;... Incredibly useful for exploring large text datasets where exact matches are too restrictive.",,,,"[41089251, 41089158, 41089139, 41089355, 41088760]",https://github.com/arunsupe/semantic-grep,61,Show HN: Semantic Grep – A Word2Vec-powered search tool,,9
41088314,,story,cocacola1,1722103831,,,,,"[41089240, 41089000, 41089200]",https://www.robertcaro.org/post/an-interview-with-robert-caro-and-kurt-vonnegut,26,An Interview with Robert Caro and Kurt Vonnegut (1999),,6
